,fecha,confirmados_minsal,fecha_media_movil,media_movil,R0,Alpha,Beta,Gamma,S,E,I,Ia,R
0,2020-11-19,25492,2020-11-16,25091.571428571428,0.7790746516233693,0.3333333333333333,0.11129637880333847,0.14285714285714285,624143.5933533857,365.98984433024106,1049.3216912478497,25490.416802284093,24441.095111036244
1,2020-11-20,25608,2020-11-17,25213.571428571428,0.7673885318490188,0.3333333333333333,0.10962693312128839,0.14285714285714285,624031.390100355,356.1964825841126,1021.4152072749039,25612.413417060838,24590.998209785936
2,2020-11-21,25710,2020-11-18,25337.285714285714,0.7557024120746683,0.3333333333333333,0.10795748743923832,0.14285714285714285,623923.8301185848,345.02430349294127,994.2309099541457,25731.14557792221,24736.914667968063
3,2020-11-22,25752,2020-11-19,25460.14285714286,0.7440162923003176,0.3333333333333333,0.10628804175718823,0.14285714285714285,623820.7466950394,333.0996258739364,967.206023982153,25846.15367908652,24878.94765510437
4,2020-11-23,25812,2020-11-20,25569.0,0.7323301725259671,0.3333333333333333,0.10461859607513815,0.14285714285714285,623722.034122076,320.7789902127838,940.066943466491,25957.18688771117,25017.119944244678
5,2020-11-24,25942,2020-11-21,25670.285714285714,0.7206440527516167,0.3333333333333333,0.10294915039308809,0.14285714285714285,623627.6150389176,308.2717433002801,912.6979958993487,26064.113217782095,25151.415221882748
6,2020-11-25,26087,2020-11-22,25771.85714285714,0.7089579329772661,0.3333333333333333,0.101279704711038,0.14285714285714285,623537.4230707086,295.70646374246996,885.0698156804875,26166.870465548855,25281.800649868368
7,2020-11-26,26254,2020-11-23,25880.714285714286,0.6972718132029155,0.3333333333333333,0.09961025902898793,0.14285714285714285,623451.3937005488,283.1670126548066,857.200091830765,26265.439286796343,25408.23919496558
8,2020-11-27,26378,2020-11-24,25990.714285714286,0.685585693428565,0.3333333333333333,0.09794081334693786,0.14285714285714285,623369.4595869312,270.7121220542149,829.1319400732103,26359.82829101461,25530.6963509414
9,2020-11-28,26452,2020-11-25,26096.714285714286,0.6738995736542145,0.3333333333333333,0.09627136766488778,0.14285714285714285,623291.5482908303,258.3860441369859,800.9218940808233,26450.065665032686,25649.14377095186
10,2020-11-29,26506,2020-11-26,26204.428571428572,0.6622134538798639,0.3333333333333333,0.09460192198283769,0.14285714285714285,623217.5813150541,246.22433853429146,772.6331620197011,26536.19434641168,25763.56118439198
11,2020-11-30,26603,2020-11-27,26317.428571428572,0.6505273341055133,0.3333333333333333,0.09293247630078762,0.14285714285714285,623147.4738621328,234.25701194415748,744.3317755283172,26618.26912592311,25873.937350394794
12,2020-12-01,26783,2020-11-28,26437.571428571428,0.6388412143311629,0.3333333333333333,0.09126303061873756,0.14285714285714285,623081.1349879224,222.51021550653076,716.0843353866101,26696.354796571166,25980.270461184555
13,2020-12-02,26909,2020-11-29,26555.0,0.6271550945568123,0.3333333333333333,0.08959358493668747,0.14285714285714285,623018.4679741153,211.0071574781405,687.9566450240332,26770.524868406676,26082.56822338264
14,2020-12-03,27039,2020-11-30,26667.14285714286,0.6154689747824618,0.3333333333333333,0.08792413925463739,0.14285714285714285,622959.3708217504,199.76859068367287,660.0128434656942,26840.860587566054,26180.84774410036
15,2020-12-04,27141,2020-12-01,26776.14285714286,0.6037828550081112,0.3333333333333333,0.08625469357258732,0.14285714285714285,622903.7368105572,188.81307164896523,632.3148246270574,26907.450117793946,26275.135293166888
16,2020-12-05,27201,2020-12-02,26883.14285714286,0.5920967352337607,0.3333333333333333,0.08458524789053724,0.14285714285714285,622851.4550922146,178.15709944187432,604.9218259442757,26970.3878083436,26365.465982399324
17,2020-12-06,27248,2020-12-03,26989.14285714286,0.5804106154594101,0.3333333333333333,0.08291580220848715,0.14285714285714285,622802.4112983146,167.81519352796604,577.8901220519087,27029.773508157556,26451.88338610565
18,2020-12-07,27306,2020-12-04,27089.571428571428,0.5687244956850596,0.3333333333333333,0.08124635652643708,0.14285714285714285,622756.4881508332,157.7999431666888,551.2727881728629,27085.711906000215,26534.43911782735
19,2020-12-08,27360,2020-12-05,27172.0,0.5570383759107091,0.3333333333333333,0.07957691084438702,0.14285714285714285,622713.5660668421,148.1220461022694,525.1195137751597,27138.311887055777,26613.192373280617
20,2020-12-09,27498,2020-12-06,27256.14285714286,0.5453522561363585,0.3333333333333333,0.07790746516233693,0.14285714285714285,622673.5237514535,138.79034612342093,499.4764557461314,27187.6859024232,26688.20944667707
21,2020-12-10,27650,2020-12-07,27343.428571428572,0.533666136362008,0.3333333333333333,0.21428571428571427,0.14285714285714285,622636.2387743562,129.81187451287013,474.3861250616339,27233.94935113101,26759.563226069375
